Player
Sarawut Maliwan
Hilal Ahmad
Pyae Phyo Wai
S Nadigotla
H Singh
RI Ahmed
VS Padhaal
Sazzad Hosen
LH Ferguson
I Civric
Shakeel Ahmed
Wahab Riaz
Aamir Kaleem
A Kapoor
SW Poynter
M Swack
Virendra Kumar
GJ Joseph
Muhammad Farooq
Faizan Asif
S Mathur
Shohidul Islam
J Miyagi
Imran Anwar
HJC Mol
K Subramanian
Shahzad Muhammad
CJPF Kalugamage
M Labuschagne
Anasim Khan
Muhammad Kaleem
J Linton
Mansoor Amjad
K Santokie
Saeed Waqar Ali
N Dickwella
DPMD Jayawardene
Fazalhaq Farooqi
LMP Simmons
E Niyomugabo
Samiallah Khalil
Fakhar Zaman
M Podosky
KP Pietersen
KD Karthik
Rizwan Cheema
OA Shah
J Chaturanga
SR Taylor
JM How
Shoriful Islam
Mazharul Islam
AA Westphal
S Hook
IM Farrell
Nazmus Sadat
Murat Ipek
GE Kidd
Divyes Kumar
SPS Shikongo
Ismaeel Zia
P Hatchman
Khalid Kail
Sami Sohail
Awais Malik
JE Taylor
P Gopalkrishnan
Manan Bashir
T Taylor
Nasum Ahmed
JR Barry
SM Sharma
J Dunn
NO Miller
Aziz Mohammad
Sajad Ahmadzai
SI Mahmood
J Jemison
SO Tikolo
EB Knowles
PS Eaglestone
OE Olaleye
A Langham
Mohammad Yasin
R Theruvath
J Louw
H Niaz
Adnan Razzaq
M Iturbe
Muhammad Saqib
JF Mooney
Harbhajan Singh
Yasir Ali
DV Devjani Mutreja
Fiaz Ahmed
RD Berrington
D Matla
N Ahir
SVA Karthikeyan
Al-Amin Hossain
G Miller
S Ravichandran
Waqas Khan
Zahoor Khan
Amir Hayat
JW Wilson
A Rangaswamy
CN Onwuzulike
UT Yadav
MM Ali
CT Mumba
AM Blignaut
Shafraz Jaleel
Iftekar Jaman
Rubel Hossain
SJ Benn
AC Valthapa
Raunaq Kapur
J Sebanja
D Heyliger
C Bogdanos
Ali Nayyer
PL Mommsen
CE McConchie
PR Santhanakrishnan
S Barnett
Ameel Mauroof
GC Murtaza
OGL Bascome
MK Tiwary
K Ghalley
MSS Mandy
JJ Nyambo
Yair Nagavkar
FN Walsh
Azeem Nazir
Nazmul Hossain
Anique Uddin
Mahmud Jasat
DS Smith
Tanwir Afzal
Jojo Thomas
S Ghimire
Tejwinder Singh
XM Marshall
Umar Adam
D Marks
H Pragji
Muhammad Ansar
Gagandeep Singh
TA Blundell
S Dhakal
Ijaz Ahmad Ahmadzai
MW Machan
Ravi Bishnoi
Elias Hasan
E Jabarkhel
L Stubbs
PF Gallagher
JJ Atkinson
J Vijay
JM Vince
CD de Lange
JB Abega
SL Malinga
L Balaji
Waqar Abbasi
V Balakrishnan
E Cruz
RJ Hatchman
Mohammad Mithun
R Strydom
Babar Hayat
MJ Swepson
TE Tucker
Huzaifa Mohammed
M Kpaka
Ismaila Tamba
SPD Smith
Atif Mehmood
JRMVB Sanjaya
D Maisuria
A Paul
Maaz Khan
BB McCullum
Yasar Idrees
S Chandramohan
Habib Ahmadzai
V Sibanda
JKP Ellick
Nawazish Jezuli
Joginder Sharma
MA Carberry
I Ntirenganya
K Jethi
Rahmatullah Mangal
L Sreekumar
Muhammad Amir
A Flintoff
AK Mohan
E Ochieng
Muhammad Khurram
D Polpitiya
AC Kose
STR Binny
J Broad
C Pervez
Mehran Dorri
Hassan Rasheed
Aslam Doria
D Wheatley
WB Rankin
MJ Santner
BM Wheeler
Najibullah Zadran
R Drake
RA Reifer
SP Khakurel
HH Pandya
Syed Aziz
H Lin Aung
FH Edwards
T Shanmugam
S Barediya
R Sharma
AUKDS Kalugala
HB Dickson
Hisham Shaikh
AP Rajeevan
CM Rocca
JWW Gardner
Parvindar Kumar
Shenjian Zheng
